Total: 83 Gb

-- Used in new datamart
9043 MB	postgres.audit_log
7210 MB	postgres.supplier_article
4206 MB	postgres.order_position
3560 MB	postgres.principal
1344 kB	postgres.order_cancellation
991 MB	postgres.customer_order
951 MB	postgres.doc_data_manifest_shipping
624 MB	postgres.doc_data_shipment_confirmation
433 MB	postgres.profile
236 MB	postgres.voucher
172 MB	postgres.userconnection
106 MB	postgres.address
42 MB	postgres.preview
4176 kB	postgres.customer_subscription
48 kB	postgres.order_cancellation_reason

-- Used in existing views
21 GB	postgres.article
8785 MB	postgres.article_cluster_entry
8408 MB	postgres.doc_data_inventory_count
7792 MB	postgres.product_importer_event
2966 MB	postgres.action_tracking
2382 MB	postgres.doc_data_sales_order_line
2282 MB	postgres.stock_entry
2210 MB	postgres.financial_transaction
1227 MB	postgres.article_price

-- Snowplow events by month

2015-04	1,048,866	1176 MB
2015-05	1,406,643	1970 MB
2015-06	1,879,443	2562 MB
2015-07	1,688,022	2314 MB
2015-08	2,549,711	3418 MB
2015-09	2,706,436	3544 MB

-- Audit log records my year

2013	4,142,686
2014	22,449,742
2015	11,350,349

-- Order position count by month

201203	299
201204	937
201205	1461
201206	3145
201207	8502
201208	7547
201209	9787
201210	9704
201211	11624
201212	6106
201301	12344
201302	18068
201303	23547
201304	26489
201305	25257
201306	34651
201307	42506
201308	42759
201309	74816
201310	73748
201311	71992
201312	60945
201401	102964
201402	108232
201403	143433
201404	169161
201405	123011
201406	103941
201407	109260
201408	79744
201409	130702
201410	136642
201411	137481
201412	109275
201501	112755
201502	147040
201503	167117
201504	170076
201505	210458
201506	231272
201507	189554
201508	213096
201509	274389

-- Supplier article by month

201203	144253
201204	36448
201205	94836
201206	44571
201207	51556
201208	41031
201209	3474
201210	97932
201211	26317
201212	23771
201301	38127
201302	57635
201303	67567
201304	46729
201305	15523
201306	37220
201307	74696
201308	41027
201309	76746
201310	61775
201311	42888
201312	81112
201401	64761
201402	82684
201403	77233
201404	50115
201405	40139
201406	34577
201407	60326
201408	69974
201409	58636
201410	31631
201411	10276
201412	7365
201501	3530
201502	2763
201503	3642
201504	3025
201505	4464
201506	9141
201507	6848
201508	1341
201509	5033

