order_id;return_comment;return_comment_date
278758062;addressee unknown;27.05.2015
283411225;addressee unknown;27.05.2015
279185711;addressee unknown;27.05.2015
259557441;addressee unknown;27.05.2015
281513849;addressee unknown;28.05.2015
280767160;addressee unknown;28.05.2015
277558948;addressee unknown;28.05.2015
283461553;addressee unknown;28.05.2015
276976027;addressee unknown;28.05.2015
280732100;addressee unknown;28.05.2015
279205168;addressee unknown;28.05.2015
283434223;addressee unknown;28.05.2015
285929983;addressee unknown;28.05.2015
281939046;addressee unknown;28.05.2015
281147943;addressee unknown;28.05.2015
283455843;addressee unknown;28.05.2015
282901345;addressee unknown;28.05.2015
281159967;addressee unknown;28.05.2015
274429694;addressee unknown;28.05.2015
278854326;addressee unknown;28.05.2015
275063781;addressee unknown;28.05.2015
283428619;addressee unknown;28.05.2015
283430440;addressee unknown;28.05.2015
283459383;addressee unknown;28.05.2015
283462065;addressee unknown;28.05.2015
283450411;addressee unknown;28.05.2015
284866443;addressee unknown;28.05.2015
275498527;addressee unknown;28.05.2015
279359585;addressee unknown;28.05.2015
283453975;addressee unknown;28.05.2015
279498943;addressee unknown;28.05.2015
278952440;addressee unknown;28.05.2015
273388251;addressee unknown;28.05.2015
267723135;addressee unknown;28.05.2015
279709632;addressee unknown;28.05.2015
279759837;addressee unknown;28.05.2015
285966780;addressee unknown;28.05.2015
281513849;addressee unknown;28.05.2015
281531186;addressee unknown;28.05.2015
284207768;addressee unknown;29.05.2015
282946312;addressee unknown;01.06.2015
283789523;addressee unknown;01.06.2015
278822970;addressee unknown;01.06.2015
283468990;addressee unknown;01.06.2015
283459726;addressee unknown;01.06.2015
286205995;addressee unknown;02.06.2015
284209203;addressee unknown;03.06.2015
281553447;addressee unknown;03.06.2015
283426861;addressee has moved;03.06.2015
283435473;addressee unknown;03.06.2015
283456306;addressee unknown;03.06.2015
284356534;addressee unknown;03.06.2015
283425580;addressee unknown;03.06.2015
283450390;addressee unknown;03.06.2015
283418626;addressee unknown;03.06.2015
283435601;addressee has moved;03.06.2015
283468034;addressee unknown;03.06.2015
282980147;addressee unknown;03.06.2015
283425539;addressee unknown;03.06.2015
279429142;addressee unknown;03.06.2015
283835076;addressee unknown;03.06.2015
285349942;addressee has moved;08.06.2015
283449259;addressee unknown;08.06.2015
288261872;addressee unknown;08.06.2015
283435669;addressee unknown;08.06.2015
285732627;addressee unknown;08.06.2015
283427263;addressee unknown;08.06.2015
283449757;addressee unknown;08.06.2015
283454811;addressee has moved;08.06.2015
276121486;addressee unknown;08.06.2015
