"03-Feb-2015","SE","Repeat Order","Returned","665.43"
"14-Sep-2015","DE","Outfittery Club Order","Returned","1,793.99"
"01-Jun-2015","DE","Outfittery Club Order","Returned","3,799.30"
"09-Apr-2015","DE","First Order","","379.95"
"01-Sep-2015","AT","First Order","Returned","939.50"
"27-Apr-2015","CH","Repeat Order","Kept","659.22"
"15-Apr-2015","CH","First Order","Returned","1,534.93"
"15-Jul-2015","DE","Repeat Order","Returned","1,159.25"
"17-Feb-2015","DE","Repeat Order","Returned","184.65"
"05-Aug-2015","DE","First Order","Returned","1,813.50"
"09-Mrz-2015","DE","First Order","Kept","597.44"
"16-Jul-2015","DE","First Order","Returned","6,497.60"
"23-Feb-2015","DE","Outfittery Club Order","Kept","729.54"
"26-Mrz-2015","DE","First Order","Returned","867.40"
"03-Jun-2015","DE","Repeat Order","Returned","1,219.25"
"15-Mai-2015","CH","Repeat Order Follow-on","Returned","399.19"
"21-Apr-2015","CH","Repeat Order","Kept","374.60"
"29-Jul-2015","CH","First Order","Returned","1,009.44"
"29-Jan-2015","AT","First Order Follow-on","Returned","309.63"
"23-Apr-2015","AT","Repeat Order","Returned","710.50"
"02-Jun-2015","DE","Outfittery Club Order","Returned","1,144.00"
"20-Apr-2015","DE","First Order","Returned","570.75"
"16-Apr-2015","DE","First Order","Returned","756.40"
"31-Aug-2015","DE","Outfittery Club Order","Returned","2,128.42"
"28-Feb-2015","DE","Outfittery Club Order","Returned","973.45"
"22-Jun-2015","CH","Repeat Order","Returned","1,164.90"
"03-Aug-2015","AT","First Order","Returned","1,829.10"
"04-Mai-2015","DE","First Order","Returned","3,292.85"
"22-Apr-2015","AT","First Order","Returned","1,034.40"
"05-Jun-2015","DE","Repeat Order","Returned","629.39"
"07-Sep-2015","DE","Repeat Order","Returned","749.44"
"21-Aug-2015","DE","Repeat Order Follow-on","Returned","339.80"
"18-Mrz-2015","DE","First Order","Returned","2,456.49"
"11-Jun-2015","DE","First Order","Returned","1,983.64"
"01-Jul-2015","CH","Outfittery Club Order","Returned","1,726.11"
"25-Aug-2015","DE","Repeat Order","Returned","1,724.79"
"08-Jul-2015","DE","First Order Follow-on","Returned","349.75"
"27-Aug-2015","AT","First Order","Returned","1,229.00"
"24-Mrz-2015","DE","First Order","Returned","844.35"
"19-Mai-2015","CH","First Order","Returned","2,110.58"
"28-Aug-2015","AT","First Order","Returned","1,289.20"
"10-Jul-2015","DE","Repeat Order","Returned","1,648.25"
"30-Jul-2015","DE","First Order","Returned","3,263.52"
"08-Jun-2015","DE","Repeat Order","Returned","718.35"
"06-Feb-2015","AT","Repeat Order","Returned","747.30"
"30-Apr-2015","DE","First Order","Returned","1,959.29"
"21-Mai-2015","DE","First Order Follow-on","","129.95"
"02-Sep-2015","DE","First Order","Returned","6,223.58"
"06-Mai-2015","DE","First Order","Returned","1,738.75"
"26-Aug-2015","DE","Repeat Order","Returned","1,921.09"
"09-Sep-2015","DE","First Order","Returned","1,903.79"
"01-Jul-2015","DE","Outfittery Club Order","Returned","3,112.15"
"13-Aug-2015","DE","First Order","Returned","3,332.48"
"20-Jul-2015","DE","Repeat Order","Returned","1,347.75"
"12-Mrz-2015","DE","Outfittery Club Order","Returned","1,092.60"
"17-Jul-2015","DE","Repeat Order","Returned","799.45"
"02-Jul-2015","DE","Repeat Order","Returned","687.30"
"15-Jun-2015","DE","First Order","Returned","1,848.50"
"11-Sep-2015","SE","First Order","Returned","997.61"
"10-Mrz-2015","DE","Repeat Order","Kept","552.02"
"11-Sep-2015","DE","Repeat Order","Returned","1,882.55"
"11-Sep-2015","DE","First Order","Kept","684.48"
"10-Mrz-2015","DE","First Order","Returned","907.45"
"06-Aug-2015","DE","Repeat Order","Returned","1,146.84"
"07-Aug-2015","AT","Repeat Order","Returned","464.64"
"30-Mai-2015","DE","Outfittery Club Order","Returned","1,473.70"
"28-Aug-2015","DE","Outfittery Club Order","Returned","7,278.76"
"18-Mai-2015","DE","First Order","Kept","774.40"
"29-Jun-2015","DE","First Order Follow-on","","359.95"
"08-Jul-2015","DE","Outfittery Club Order","Returned","1,138.89"
"26-Mai-2015","DE","Repeat Order","Returned","959.30"
"18-Mai-2015","DE","Repeat Order","Returned","1,470.15"
