date_shipped;shipping_country;order_type;delivery_status;GSb4Ret;;;;;;;
24.09.2015;DE;Repeat Order;Sent;434.64;;;;;;;
16.09.2015;DE;First Order;Returned;598.95;;;;;;;
15.09.2015;DE;First Order;Returned;3,202.85;;;;;;;
14.09.2015;DE;Outfittery Club Order;Returned;1,793.99;;;;;;;
14.09.2015;DE;First Order;Returned;1,312.97;;;;;;;
14.09.2015;DE;Repeat Order;Returned;814.45;;;;;;;
11.09.2015;SE;First Order;Returned;997.61;;;;;;;
11.09.2015;DE;Repeat Order;Returned;1,882.55;;;;;;;
11.09.2015;DE;First Order;Kept;684.48;;;;;;;
11.09.2015;DE;First Order;Returned;3,911.44;;;;;;;
11.09.2015;DK;First Order;Returned;859.18;;;;;;;
11.09.2015;DE;Outfittery Club Order;Returned;6,866.79;;;;;;;
10.09.2015;CH;Outfittery Club Order;Returned;1,024.13;;;;;;;
10.09.2015;DE;Outfittery Club Order;Returned;3,521.69;;;;;;;
10.09.2015;DE;Repeat Order;Returned;969.35;;;;;;;
10.09.2015;DE;First Order;Returned;5,319.88;;;;;;;
10.09.2015;CH;First Order;Returned;671.99;;;;;;;
09.09.2015;DE;First Order;Returned;1,903.79;;;;;;;
09.09.2015;DE;Repeat Order;Returned;1,489.33;;;;;;;
09.09.2015;DE;Outfittery Club Order;Returned;1,591.85;;;;;;;
09.09.2015;DE;Repeat Order Follow-on;Returned;334.70;;;;;;;
09.09.2015;DE;First Order Follow-on;;99.95;;;;;;;
08.09.2015;DE;Outfittery Club Order;Returned;2,534.53;;;;;;;
08.09.2015;DE;Repeat Order;Returned;2,104.02;;;;;;;
08.09.2015;DE;First Order;Returned;5,643.10;;;;;;;
07.09.2015;DE;Repeat Order;Returned;749.44;;;;;;;
07.09.2015;DE;First Order;Returned;7,451.75;;;;;;;
07.09.2015;DE;Outfittery Club Order;Returned;5,710.24;;;;;;;
05.09.2015;DE;Repeat Order;Returned;719.35;;;;;;;
05.09.2015;DE;First Order;Returned;3,697.40;;;;;;;
05.09.2015;DE;Outfittery Club Order;Returned;9,777.63;;;;;;;
04.09.2015;DE;First Order;Returned;597.59;;;;;;;
04.09.2015;DE;Outfittery Club Order;Returned;8,972.29;;;;;;;
04.09.2015;DE;First Order Follow-on;Returned;279.90;;;;;;;
03.09.2015;DE;First Order;Returned;6,976.63;;;;;;;
03.09.2015;DE;Repeat Order;Returned;677.65;;;;;;;
03.09.2015;DE;Outfittery Club Order;Returned;4,619.64;;;;;;;
03.09.2015;DE;Outfittery Club Order;Kept;598.56;;;;;;;
03.09.2015;BE;First Order;Returned;819.59;;;;;;;
02.09.2015;DE;First Order;Returned;6,223.58;;;;;;;
02.09.2015;DE;Repeat Order;Returned;692.40;;;;;;;
02.09.2015;AT;First Order;Returned;874.20;;;;;;;
02.09.2015;DE;Outfittery Club Order;Returned;9,576.19;;;;;;;
02.09.2015;NL;First Order;Returned;934.40;;;;;;;
01.09.2015;AT;First Order;Returned;939.50;;;;;;;
01.09.2015;DE;Outfittery Club Order;Returned;1,869.70;;;;;;;
01.09.2015;DE;First Order;Returned;5,247.77;;;;;;;
01.09.2015;DE;Repeat Order;Returned;929.35;;;;;;;
31.08.2015;DE;Outfittery Club Order;Returned;2,128.42;;;;;;;
31.08.2015;DE;First Order;Returned;3,621.15;;;;;;;
31.08.2015;DE;Repeat Order;Returned;897.35;;;;;;;
28.08.2015;AT;First Order;Returned;1,289.20;;;;;;;
28.08.2015;DE;Outfittery Club Order;Returned;7,278.76;;;;;;;
28.08.2015;DE;First Order;Returned;4,757.58;;;;;;;
28.08.2015;DE;Repeat Order;Returned;1,674.89;;;;;;;
27.08.2015;AT;First Order;Returned;1,229.00;;;;;;;
27.08.2015;DE;Outfittery Club Order;Returned;8,645.06;;;;;;;
27.08.2015;DE;First Order;Returned;2,562.29;;;;;;;
27.08.2015;SE;First Order;Returned;1,462.83;;;;;;;
27.08.2015;NL;Outfittery Club Order;Returned;834.38;;;;;;;
26.08.2015;DE;Repeat Order;Returned;1,921.09;;;;;;;
26.08.2015;DE;First Order;Returned;3,265.37;;;;;;;
26.08.2015;DE;Repeat Order Follow-on;;89.95;;;;;;;
26.08.2015;AT;Repeat Order;Returned;699.45;;;;;;;
26.08.2015;DE;Outfittery Club Order;Returned;5,815.81;;;;;;;
25.08.2015;DE;Repeat Order;Returned;1,724.79;;;;;;;
25.08.2015;DE;Repeat Order;Kept;959.35;;;;;;;
25.08.2015;DE;First Order;Returned;7,028.17;;;;;;;
25.08.2015;AT;Repeat Order;Returned;494.69;;;;;;;
22.08.2015;DE;First Order;Returned;2,782.27;;;;;;;
22.08.2015;DE;Repeat Order;Returned;497.60;;;;;;;
21.08.2015;DE;Repeat Order Follow-on;Returned;339.80;;;;;;;
21.08.2015;DE;First Order;Returned;10,076.08;;;;;;;
21.08.2015;DE;Repeat Order;Returned;1,055.25;;;;;;;
20.08.2015;AT;Repeat Order;Returned;532.60;;;;;;;
20.08.2015;DE;First Order;Returned;1,543.78;;;;;;;
19.08.2015;DE;First Order;Returned;1,365.96;;;;;;;
19.08.2015;AT;First Order;Returned;1,690.62;;;;;;;
18.08.2015;DE;First Order;Returned;6,692.68;;;;;;;
17.08.2015;DE;First Order;Returned;6,849.70;;;;;;;
17.08.2015;DE;First Order;Cancelled;1,219.30;;;;;;;
14.08.2015;DE;First Order;Returned;22,356.04;;;;;;;
14.08.2015;DE;Repeat Order;Returned;844.35;;;;;;;
13.08.2015;DE;First Order;Returned;3,332.48;;;;;;;
12.08.2015;DE;First Order;Returned;3,788.15;;;;;;;
11.08.2015;DE;First Order;Returned;2,611.13;;;;;;;
10.08.2015;DE;First Order Follow-on;;159.95;;;;;;;
10.08.2015;DE;First Order Follow-on;Kept;209.85;;;;;;;
10.08.2015;DE;Repeat Order Follow-on;Returned;339.80;;;;;;;
10.08.2015;DE;Repeat Order;Returned;2,169.55;;;;;;;
10.08.2015;DE;First Order;Returned;21,465.02;;;;;;;
07.08.2015;AT;Repeat Order;Returned;464.64;;;;;;;
07.08.2015;DE;First Order;;259.90;;;;;;;
07.08.2015;DE;Repeat Order;Returned;765.24;;;;;;;
07.08.2015;DE;First Order;Returned;9,608.64;;;;;;;
06.08.2015;DE;Repeat Order;Returned;1,146.84;;;;;;;
06.08.2015;DE;First Order;Returned;2,583.10;;;;;;;
06.08.2015;DE;Repeat Order Follow-on;Returned;499.70;;;;;;;
05.08.2015;DE;First Order;Returned;1,813.50;;;;;;;
05.08.2015;DE;Repeat Order;Returned;1,464.70;;;;;;;
05.08.2015;AT;First Order;Returned;793.49;;;;;;;
05.08.2015;DE;Repeat Order Follow-on;Returned;164.70;;;;;;;
04.08.2015;DE;First Order;Returned;2,516.84;;;;;;;
03.08.2015;AT;First Order;Returned;1,829.10;;;;;;;
03.08.2015;DE;First Order Follow-on;;89.95;;;;;;;
03.08.2015;DE;First Order;Returned;1,893.65;;;;;;;
03.08.2015;DE;Repeat Order;Returned;1,566.85;;;;;;;
31.07.2015;BE;First Order;Returned;584.40;;;;;;;
31.07.2015;DE;First Order;Returned;6,109.51;;;;;;;
31.07.2015;DE;Repeat Order;Returned;2,384.27;;;;;;;
30.07.2015;DE;First Order;Returned;3,263.52;;;;;;;
29.07.2015;CH;First Order;Returned;1,009.44;;;;;;;
29.07.2015;AT;First Order Follow-on;Returned;159.85;;;;;;;
29.07.2015;DE;First Order;Returned;2,262.87;;;;;;;
29.07.2015;DE;Repeat Order;Returned;1,359.05;;;;;;;
29.07.2015;AT;Repeat Order;Returned;759.60;;;;;;;
28.07.2015;DE;First Order;Returned;5,107.04;;;;;;;
28.07.2015;DE;Repeat Order;Returned;1,551.78;;;;;;;
27.07.2015;DE;First Order;Returned;5,725.23;;;;;;;
27.07.2015;DE;Repeat Order;Returned;592.55;;;;;;;
24.07.2015;DE;Repeat Order Follow-on;;64.95;;;;;;;
24.07.2015;DE;Repeat Order;Returned;3,312.55;;;;;;;
24.07.2015;DE;First Order;Returned;4,125.98;;;;;;;
23.07.2015;DE;Repeat Order;Returned;499.60;;;;;;;
23.07.2015;DE;First Order;Returned;2,907.68;;;;;;;
22.07.2015;DE;First Order;Returned;8,893.42;;;;;;;
22.07.2015;LU;First Order;Returned;732.44;;;;;;;
22.07.2015;DE;Repeat Order;Returned;2,623.88;;;;;;;
21.07.2015;DE;First Order;Kept;1,243.30;;;;;;;
21.07.2015;CH;Repeat Order;Kept;985.32;;;;;;;
21.07.2015;DE;First Order;Returned;2,456.98;;;;;;;
20.07.2015;DE;Repeat Order;Returned;1,347.75;;;;;;;
20.07.2015;DE;First Order;Returned;2,631.64;;;;;;;
17.07.2015;DE;Repeat Order;Returned;799.45;;;;;;;
17.07.2015;DE;First Order;Returned;1,653.45;;;;;;;
17.07.2015;DK;First Order;Returned;843.24;;;;;;;
16.07.2015;DE;First Order;Returned;6,497.60;;;;;;;
16.07.2015;DE;Repeat Order;Returned;1,094.25;;;;;;;
15.07.2015;DE;Repeat Order;Returned;1,159.25;;;;;;;
15.07.2015;DE;First Order;Returned;4,440.90;;;;;;;
15.07.2015;AT;First Order;Returned;934.20;;;;;;;
14.07.2015;DE;Repeat Order;Returned;1,097.30;;;;;;;
14.07.2015;DE;First Order;Returned;1,270.10;;;;;;;
13.07.2015;LU;First Order;Returned;609.45;;;;;;;
13.07.2015;DE;First Order;Returned;3,282.19;;;;;;;
13.07.2015;AT;First Order;Returned;952.30;;;;;;;
10.07.2015;DE;Repeat Order;Returned;1,648.25;;;;;;;
10.07.2015;DE;First Order;Returned;1,451.74;;;;;;;
10.07.2015;NL;First Order;Returned;754.40;;;;;;;
10.07.2015;DE;Repeat Order Follow-on;Returned;139.90;;;;;;;
09.07.2015;DE;Outfittery Club Order;Returned;992.25;;;;;;;
09.07.2015;DE;Repeat Order;Returned;2,332.29;;;;;;;
08.07.2015;DE;First Order Follow-on;Returned;349.75;;;;;;;
08.07.2015;DE;Outfittery Club Order;Returned;1,138.89;;;;;;;
08.07.2015;DE;Repeat Order Follow-on;Returned;344.64;;;;;;;
08.07.2015;NL;First Order;Returned;562.45;;;;;;;
08.07.2015;DE;First Order;Returned;589.60;;;;;;;
08.07.2015;DE;Repeat Order;Returned;545.48;;;;;;;
07.07.2015;DE;First Order Follow-on;;299.90;;;;;;;
07.07.2015;DE;Repeat Order Follow-on;Returned;344.59;;;;;;;
07.07.2015;DE;Repeat Order;Returned;1,320.90;;;;;;;
07.07.2015;DE;First Order;Returned;4,601.97;;;;;;;
06.07.2015;DE;First Order;Returned;4,044.64;;;;;;;
06.07.2015;DE;Repeat Order;Returned;1,681.80;;;;;;;
03.07.2015;DE;Outfittery Club Order;Returned;3,603.17;;;;;;;
03.07.2015;DE;First Order;Returned;1,334.78;;;;;;;
03.07.2015;DE;Repeat Order;Returned;1,401.84;;;;;;;
02.07.2015;DE;Repeat Order;Returned;687.30;;;;;;;
02.07.2015;DE;First Order;Returned;1,403.75;;;;;;;
02.07.2015;AT;Repeat Order;Returned;569.54;;;;;;;
02.07.2015;DE;Outfittery Club Order;Returned;2,003.45;;;;;;;
02.07.2015;DE;First Order Follow-on;Returned;349.70;;;;;;;
01.07.2015;CH;Outfittery Club Order;Returned;1,726.11;;;;;;;
01.07.2015;DE;Outfittery Club Order;Returned;3,112.15;;;;;;;
01.07.2015;BE;First Order;Returned;659.50;;;;;;;
01.07.2015;DE;First Order;Returned;1,498.70;;;;;;;
01.07.2015;DE;Repeat Order;Returned;754.45;;;;;;;
30.06.2015;DE;Outfittery Club Order;Returned;472.55;;;;;;;
30.06.2015;DE;First Order;Returned;1,544.00;;;;;;;
29.06.2015;DE;First Order Follow-on;;359.95;;;;;;;
29.06.2015;DE;Outfittery Club Order;Returned;4,818.41;;;;;;;
29.06.2015;DE;Repeat Order;Returned;3,907.18;;;;;;;
29.06.2015;SE;First Order;Returned;690.11;;;;;;;
29.06.2015;AT;Outfittery Club Order;Returned;679.35;;;;;;;
29.06.2015;DE;First Order;Returned;5,297.24;;;;;;;
26.06.2015;DE;Outfittery Club Order;Returned;514.60;;;;;;;
26.06.2015;DE;Repeat Order;Returned;534.65;;;;;;;
26.06.2015;DE;First Order;Returned;5,942.04;;;;;;;
25.06.2015;DE;First Order;Returned;3,785.65;;;;;;;
25.06.2015;DE;Outfittery Club Order;Returned;2,239.39;;;;;;;
25.06.2015;DE;First Order Follow-on;Returned;419.80;;;;;;;
25.06.2015;AT;First Order;Returned;624.49;;;;;;;
24.06.2015;DE;First Order;Returned;6,152.70;;;;;;;
24.06.2015;DE;Repeat Order;Returned;574.40;;;;;;;
23.06.2015;DE;First Order;Returned;1,271.79;;;;;;;
23.06.2015;NL;Outfittery Club Order;Returned;659.45;;;;;;;
23.06.2015;DE;Repeat Order;Returned;1,266.65;;;;;;;
22.06.2015;CH;Repeat Order;Returned;1,164.90;;;;;;;
22.06.2015;DE;Repeat Order;Returned;449.70;;;;;;;
22.06.2015;DE;First Order;Returned;2,015.70;;;;;;;
22.06.2015;DE;Repeat Order Follow-on;Returned;460.64;;;;;;;
22.06.2015;AT;First Order;Returned;1,029.55;;;;;;;
19.06.2015;AT;First Order;Returned;991.50;;;;;;;
19.06.2015;DE;Outfittery Club Order;Returned;729.15;;;;;;;
19.06.2015;DE;Repeat Order;Returned;1,103.40;;;;;;;
19.06.2015;DE;First Order;Returned;4,058.87;;;;;;;
19.06.2015;CH;First Order;Returned;933.43;;;;;;;
18.06.2015;DE;First Order;Returned;1,523.70;;;;;;;
18.06.2015;DE;Repeat Order;Returned;239.70;;;;;;;
17.06.2015;LU;First Order;Returned;704.29;;;;;;;
17.06.2015;DE;First Order;Returned;2,495.68;;;;;;;
16.06.2015;DE;First Order;Kept;754.35;;;;;;;
16.06.2015;DE;First Order;Returned;1,827.60;;;;;;;
16.06.2015;DE;Repeat Order Follow-on;;79.95;;;;;;;
16.06.2015;BE;Repeat Order;Returned;489.65;;;;;;;
16.06.2015;DE;First Order Follow-on;Returned;719.55;;;;;;;
16.06.2015;AT;First Order;Returned;992.50;;;;;;;
15.06.2015;DE;First Order;Returned;1,848.50;;;;;;;
15.06.2015;DE;Repeat Order Follow-on;;79.95;;;;;;;
12.06.2015;DE;Outfittery Club Order;Returned;1,756.44;;;;;;;
12.06.2015;DE;First Order Follow-on;Returned;345.80;;;;;;;
12.06.2015;DE;Repeat Order;Returned;909.35;;;;;;;
12.06.2015;CH;First Order;Returned;1,012.72;;;;;;;
12.06.2015;DE;First Order;Returned;1,546.75;;;;;;;
11.06.2015;DE;First Order;Returned;1,983.64;;;;;;;
11.06.2015;DE;Outfittery Club Order;Returned;789.30;;;;;;;
11.06.2015;AT;Repeat Order;Returned;603.44;;;;;;;
10.06.2015;DE;First Order;Returned;1,165.19;;;;;;;
09.06.2015;DE;Outfittery Club Order;Returned;334.60;;;;;;;
09.06.2015;DE;First Order;Returned;2,443.30;;;;;;;
09.06.2015;NL;Outfittery Club Order;Returned;669.45;;;;;;;
08.06.2015;DE;Repeat Order;Returned;718.35;;;;;;;
08.06.2015;DE;First Order;Returned;441.60;;;;;;;
05.06.2015;DE;Repeat Order;Returned;629.39;;;;;;;
05.06.2015;DE;Repeat Order Follow-on;Returned;289.85;;;;;;;
05.06.2015;DE;Outfittery Club Order;Returned;1,064.35;;;;;;;
04.06.2015;DE;Repeat Order;Returned;1,366.95;;;;;;;
03.06.2015;DE;Repeat Order;Returned;1,219.25;;;;;;;
03.06.2015;DE;First Order;Returned;1,138.90;;;;;;;
03.06.2015;DE;Outfittery Club Order;Returned;1,239.50;;;;;;;
02.06.2015;DE;Outfittery Club Order;Returned;1,144.00;;;;;;;
02.06.2015;BE;Repeat Order;Returned;423.45;;;;;;;
02.06.2015;AT;First Order;Returned;780.45;;;;;;;
02.06.2015;BE;Repeat Order Follow-on;;249.90;;;;;;;
02.06.2015;DE;First Order;Returned;3,720.66;;;;;;;
02.06.2015;DE;Repeat Order;Returned;689.40;;;;;;;
